token_symbol,token_quote_symbol,token_name,price,txns,makers,volume,five_min,one_hour,six_hour,twenty_four_hour,liquidity,fdv,datetime
testUSDC,WETH,TEST_USDC,$0.00002261,"6,122",$1.4K,"1,601",-1.65%,2.32%,16.87%,-68.61%,$383,$452.2M,2023-07-12 16:34:59.609572
WBNB,BUSD,Wrapped BNB,$246.25,"6,063",$4.2M,"4,217",0.02%,-0.41%,-0.75%,-0.08%,$7.6M,$565.4M,2023-07-12 16:34:59.610783
APT,USDC,Aptos Coin,$7.01,"5,879",$186K,"1,934",0.03%,-0.43%,-0.59%,0.59%,$1.1M,-,2023-07-12 16:34:59.611937
USDt,USDC,TetherToken,$1.00,"5,854",$3.0M,"3,765",0%,0%,0%,-0.01%,$375K,$651.1M,2023-07-12 16:34:59.613094
USDC,WFTM,USD Coin,$0.4192,"5,819",$2.2M,"2,365",-1.44%,-6.29%,-28.53%,-25.88%,$2.6M,$76.2M,2023-07-12 16:34:59.614246
WETH,USDC,Wrapped Ether (Wormhole),"$1,895.49","5,793",$217K,209,0.12%,0.02%,0.69%,1.44%,$111K,$38.6M,2023-07-12 16:34:59.615403
WETH,USDC,Wrapped Ether,"$1,895.28","5,783",$1.1M,"3,816",0.09%,0.11%,0.30%,1.31%,$114K,$583.5M,2023-07-12 16:34:59.616555
MONA,WETH,MonaCoin,$0.01187,"5,716",$4.6M,"1,727",2.93%,-17.33%,-23.20%,"60,599%",$126K,$1.1M,2023-07-12 16:34:59.617708
VARA,WKAVA,Vara,$0.04243,"5,520",$24K,87,0.47%,0.42%,-2.40%,20.28%,$350K,$3.2M,2023-07-12 16:34:59.618855
WETH,SOL,Wrapped Ether (Wormhole),"$1,889.37","5,338",$132K,226,-0.07%,-0.26%,0.13%,1.44%,$57K,$38.5M,2023-07-12 16:34:59.619973
L3,USDT,L3,$45.79,"5,281",$9.4K,"4,339",0.01%,0.15%,1.00%,3.60%,$1.0M,$376.1M,2023-07-12 16:34:59.621095
USDT,USDC,Tether USD,$1.00,"5,208",$2.7M,"3,282",0%,0%,0%,0%,$6.7M,$485.9M,2023-07-12 16:34:59.622222
WETH,WMATIC,Wrapped Ether,"$1,896.27","5,205",$4.2M,"2,905",0.08%,0.17%,0.41%,1.41%,$3.1M,$409.9M,2023-07-12 16:34:59.623347
WMATIC,USDC,Wrapped Matic,$0.7402,"5,025",$48K,"3,907",0.01%,-0.32%,0.56%,-0.08%,$379K,$103.0M,2023-07-12 16:34:59.624475
APT,USDC,Aptos Coin,$7.00,"5,008",$199K,"2,071",-0.03%,-0.58%,-0.83%,0.64%,$924K,-,2023-07-12 16:34:59.625600
USDC,WKAVA,USD Coin,$1.00,"4,934",$159K,142,1.55%,1.94%,1.23%,-0.20%,$200K,$5.3M,2023-07-12 16:34:59.626716
Doge3.0,WETH,Doge 3.0,$0.0108157,"4,880",$4.9M,"1,312",3.13%,-30.82%,-89.88%,-86.57%,$36K,$34K,2023-07-12 16:34:59.627807
STA,USDT,STA TOKEN,$0.3921,"4,710",$1.1M,"2,097",0.61%,-1.90%,-0.40%,18.78%,$323K,$82.3M,2023-07-12 16:34:59.628928
SOL,USDC,Wrapped SOL,$22.57,"4,648",$118K,451,0.03%,-0.10%,2.60%,2.80%,$37K,-,2023-07-12 16:34:59.630051
agEUR,USDC,agEUR,$1.10,"4,561",$3.1K,"4,319",0.32%,0.35%,-0.57%,0.88%,$3.3K,$3.0M,2023-07-12 16:34:59.631175
WMATIC,USDC,Wrapped Matic,$0.7407,"4,557",$124K,"3,361",-0.02%,-0.10%,0.62%,0.03%,$2.1M,$103.1M,2023-07-12 16:34:59.632353
COMP2,USDC,Compound II,$0.00007302,"4,535",$56K,90,7.47%,-27.82%,21.40%,21.40%,$6.7K,$7.3K,2023-07-12 16:34:59.633501
WETH,USDC,WETH,"$1,896.74","4,518",$126K,"2,333",-0.02%,0.31%,0.07%,1.01%,$852K,$5.7M,2023-07-12 16:34:59.634609
AIC,WBNB,ASCSIGN INC,$0.0004143,"4,371",$828K,130,-24.17%,64.50%,16.11%,"1,145%",$24K,$41K,2023-07-12 16:34:59.635788
OPPAI,WETH,Oppai Token,$0.081131,"4,353",$2.8M,"1,197",-6.51%,69.10%,37.00%,"2,069%",$178K,$475K,2023-07-12 16:34:59.637077
USDC,WETH,USD Coin,$0.9999,"4,262",$20.1M,"1,460",0%,-0.01%,0%,0%,$13.6M,$148.0M,2023-07-12 16:34:59.638339
ARB,USDC,Arbitrum,$1.13,"4,246",$7.7M,665,0.03%,-0.03%,0.72%,1.47%,$4.1M,$11.33B,2023-07-12 16:34:59.639545
WBNB,USDT,Wrapped BNB,$246.23,"4,219",$16.4M,"2,689",0.01%,-0.44%,-0.76%,-0.08%,$33.1M,$565.4M,2023-07-12 16:34:59.640729
Cake,APT,PancakeSwap Token,$1.48,"4,063",$40K,"1,022",0%,-0.25%,-0.82%,-1.43%,$496K,$4.5M,2023-07-12 16:34:59.641979
USDT,BUSD,Tether USD,$1.00,"4,025",$8.0M,"2,922",0%,0%,0%,-0.01%,$32.2M,$3.38B,2023-07-12 16:34:59.643199
WBNB,USDT,Wrapped BNB,$246.27,"3,958",$1.6M,"2,742",0.03%,-0.37%,-0.73%,-0.12%,$1.0M,$564.1M,2023-07-12 16:34:59.644430
SOL,USDC,Wrapped SOL,$22.59,"3,951",$197K,331,0%,0.11%,4.46%,3.83%,$3.5M,-,2023-07-12 16:34:59.645601
SQUID2,WBNB,SQUID 2,$0.0116341,"3,902",$605K,"1,146",0.96%,-10.91%,-33.06%,99.28%,$93K,$317K,2023-07-12 16:34:59.646782
MNTC,USDT,Minati,$15.51,"3,750",$949K,1,0%,0%,-1.12%,-16.71%,$23K,$775K,2023-07-12 16:34:59.647957
CRYSTAL,WJEWEL,Crystals,$0.01706,"3,713",$8.8K,"1,054",0%,0.31%,-0.01%,-0.33%,$398K,$3.9M,2023-07-12 16:34:59.649219
$FUR,USDC,Furio,$0.03116,"3,685",$11K,"1,412",-0.01%,0.30%,0.07%,-0.72%,$453K,$293K,2023-07-12 16:34:59.650470
WGPT,USDT,Wrapped GPT,$1.17,"3,653",$1.8M,"1,485",-0.51%,-0.90%,-14.12%,17.54%,$367K,$24.6M,2023-07-12 16:34:59.651724
HTO,USDC,HTO,$0.001899,"3,631",$4.2K,17,-0.50%,-0.59%,-0.88%,-2.97%,$12K,$949K,2023-07-12 16:34:59.652909
GMETA,USDT,GMETA,$45.93,"3,609",$110K,"1,338",0.01%,0.09%,1.08%,2.87%,$9.7M,$45.93B,2023-07-12 16:34:59.654118
WBNB,USDT,Wrapped BNB,$247.01,"3,559",$89K,"2,668",0.04%,0.09%,-0.79%,0.15%,$207K,$565.8M,2023-07-12 16:34:59.655286
WETH,USDC,Wrapped Ether,"$1,896.11","3,507",$138.4M,"2,287",0.07%,0.15%,0.39%,1.34%,$250.6M,$6.47B,2023-07-12 16:34:59.656467
BTC.b,WAVAX,Bitcoin,"$30,767.99","3,421",$616K,"2,336",0.07%,-0.07%,0.26%,0.62%,$1.6M,$181.9M,2023-07-12 16:34:59.657645
SRM,USDC,Serum,$0.1100,"3,400",$73K,108,-0.03%,-0.75%,-0.75%,-0.93%,$152K,$1.090B,2023-07-12 16:34:59.658820
mSOL,SOL,Marinade staked SOL (mSOL),$25.26,"3,367",$1.0M,238,0%,-0.37%,2.07%,2.89%,$1.4M,$142.5M,2023-07-12 16:34:59.660000
DFKGOLD,WJEWEL,Gold,$0.00003630,"3,346",$1.5K,"1,682",-0.02%,0.92%,2.08%,0.62%,$3.7K,$51K,2023-07-12 16:34:59.661209
WETH,USDC,WETH,"$1,894.22","3,344",$82K,"1,945",-0.01%,0.38%,0.22%,0.92%,$1.9M,$5.7M,2023-07-12 16:34:59.662452
METADOGE2,WBNB,META DOGE 2.0,$0.0004201,"3,263",$175K,551,0%,-2.08%,-12.67%,-79.68%,$23K,$21K,2023-07-12 16:34:59.663717
stSOL,SOL,Lido Staked SOL,$25.13,"3,262",$911K,185,0%,-0.39%,2.07%,2.92%,$2.4M,$60.8M,2023-07-12 16:34:59.664973
WKLAY,npKLAY,Wrapped Klay,1.0025 npKLAY,"3,254",-,7,-0.01%,-0.02%,-0.01%,0.04%,-,-,2023-07-12 16:34:59.666186
PLSX,WPLS,PulseX,$0.00003758,"3,224",$2.9M,"1,316",-0.05%,-0.11%,4.65%,4.72%,$75.2M,$5.37B,2023-07-12 16:34:59.667363
WCORE,USDT,Wrapped CORE,$0.9124,"3,189",$40K,"1,897",0.01%,0.31%,-0.20%,0.91%,$341K,$1.8M,2023-07-12 16:34:59.668537
BTC2.0,WETH,Bitcoin 2.0,$0.07974,"3,163",$5.3M,"1,168",2.90%,9.51%,-11.78%,-56.03%,$558K,$1.6M,2023-07-12 16:34:59.669745
WETH,USDT,Wrapped Ether,"$1,895.75","3,144",$62.7M,"1,981",0.06%,0.11%,0.39%,1.40%,$80.9M,$6.47B,2023-07-12 16:34:59.670952
WBNB,BUSD,Wrapped BNB,$246.56,"3,126",$55K,"2,504",0.14%,-0.16%,-0.71%,-0.04%,$16K,$564.8M,2023-07-12 16:34:59.672125
WMATIC,USDC,Wrapped Matic,$0.7405,"3,078",$2.6M,976,0.09%,-0.13%,0.81%,0.07%,$3.0M,$103.1M,2023-07-12 16:34:59.673321
iZi,USDC,izumi Token,$0.02439,"3,073",$95K,"1,909",0%,0.11%,0.64%,2.49%,$54K,$4.8M,2023-07-12 16:34:59.674535
OP,USDC,Optimism,$1.25,"3,070",$210K,"1,195",0.01%,-0.14%,1.45%,3.31%,$411K,$5.37B,2023-07-12 16:34:59.675800
zkVAULT,WBNB,zkVAULT,$0.02793,"2,994",$218K,"1,661",0.02%,-1.89%,-12.39%,-69.71%,$144K,$279K,2023-07-12 16:34:59.677091
DAI,WFTM,Dai Stablecoin,$0.3119,"2,955",$860K,"1,302",-3.66%,-3.08%,-29.35%,-21.90%,$355K,$11.0M,2023-07-12 16:34:59.678394
LTX,SOL,Tanox,$0.00004601,"2,930",$12K,61,0%,-3.25%,-2.68%,-6.10%,$516K,$3.6M,2023-07-12 16:34:59.679691
BTC.b,USDC,Bitcoin,"$30,678.20","2,902",$9.9M,"1,674",-0.10%,-0.20%,-0.10%,0.50%,$1.6M,$181.4M,2023-07-12 16:34:59.680997
PEPE,WPLS,Pepe,$0.074157,"2,820",$428K,475,-1.45%,3.83%,12.94%,5.55%,$294K,$17.4M,2023-07-12 16:34:59.682224
PEPE,WPLS,Pepe,$0.074183,"2,804",$231K,624,-0.87%,4.01%,13.08%,6.79%,$33K,$17.5M,2023-07-12 16:34:59.683443
LUM,OSMO,Lum,$0.0003496,"2,798",$6.6K,124,0.02%,-0.11%,-0.66%,-0.22%,$162K,-,2023-07-12 16:34:59.684662
ARB,WETH,Arbitrum,$1.13,"2,795",$13.7M,"1,103",0.07%,0.06%,0.71%,1.37%,$17.0M,$11.33B,2023-07-12 16:35:00.290350
fUSDT,WFTM,Frapped USDT,$0.3668,"2,779",$777K,"1,117",0.01%,-9.17%,-30.79%,-27.09%,$560K,$30.5M,2023-07-12 16:35:00.292586
ETH2.0,WETH,Ethereum 2.0,$0.085759,"2,750",$3.0M,914,4.74%,-11.53%,-1.74%,18.34%,$233K,$575K,2023-07-12 16:35:00.294800
CAT,WETH,CatCoin,$0.02217,"2,735",$1.4M,"1,011",-0.58%,10.84%,"9,627%","9,627%",$81K,$465K,2023-07-12 16:35:00.296739
ARBS,WETH,Arbswap Token,$0.002202,"2,713",$490K,85,0.12%,0.12%,-1.53%,8.47%,$108K,$323K,2023-07-12 16:35:00.298675
