token_symbol,token_quote_symbol,token_name,price,txns,makers,volume,five_min,one_hour,six_hour,twenty_four_hour,liquidity,fdv,datetime
WETH,USDC,Wrapped Ether,"$1,874.89","2,098",$113K,"1,716",-0.62%,-0.35%,0.09%,-1.16%,$53K,$41.3M,2023-07-12 16:35:00.382288
USDC,USDC,USD Coin,$1.00,"2,092",$4.7M,"1,422",0%,0%,0%,0%,$3.9M,$148.0M,2023-07-12 16:35:00.383702
DBX,WETH,Degen Brain Exchange,$0.07131,"2,042",$38K,79,0%,0.57%,-3.00%,-13.25%,$321K,$508K,2023-07-12 16:35:00.385011
EQUAL,WFTM,Equalizer,$1.75,"2,039",$35K,266,0.35%,0.31%,3.11%,-2.84%,$687K,$7.2M,2023-07-12 16:35:00.386307
ARB,WETH,Arbitrum,$1.14,"2,035",$29K,876,0.20%,0.62%,-0.03%,0%,$161K,$263K,2023-07-12 16:35:00.387583
MIM,WFTM,Magic Internet Money,$0.9907,"2,034",$312K,"1,238",0.09%,-0.30%,-0.97%,-0.44%,$1.2M,$3.7M,2023-07-12 16:35:00.388868
LQDR,USDC,Liquid Driver,$1.22,"2,029",$1.3K,27,0%,0.04%,3.94%,25.75%,$9.6K,$112K,2023-07-12 16:35:00.390147
JEWEL,WKLAY,JEWEL,$0.1483,"2,028",$6.9K,"1,495",-0.01%,0.36%,0.11%,1.20%,$426K,$3.5M,2023-07-12 16:35:00.391421
WMATIC,USDT,Wrapped Matic,$0.7397,"2,026",$888K,527,-0.01%,-0.24%,0.71%,-0.05%,$1.0M,$103.0M,2023-07-12 16:35:00.392707
USDC,ARB,USD Coin,$1.00,"2,007",$2.7M,241,0.02%,0.12%,-0.03%,0.19%,$1.4M,$148.1M,2023-07-12 16:35:00.393934
$WHALE,WETH,KILLER WHALE,$0.00001628,"1,996",$590K,635,0%,5.44%,-62.66%,503%,$10K,$16K,2023-07-12 16:35:00.395153
TAROT,USDC,Tarot,$0.1499,"1,988",$7.0K,14,0%,-0.34%,0.08%,46.21%,$58K,$252K,2023-07-12 16:35:00.396365
WETH,DAI,WETH,"$1,899.77","1,983",$20K,"1,201",0.10%,0.26%,0.38%,0.96%,$109K,$5.7M,2023-07-12 16:35:00.397591
VOLT3.0,WETH,VOLT 3.0,$0.091929,"1,974",$710K,510,0%,7.87%,23.75%,"3,082%",$25K,$81K,2023-07-12 16:35:00.398803
BEBE,WETH,Bebe,$0.00006253,"1,971",$1.5M,646,-0.93%,42.65%,-56.56%,225%,$30K,$26K,2023-07-12 16:35:00.400020
PLAY,BUSD,PLAY,$0.07440,"1,964",$615K,"1,210",-0.22%,0.34%,-1.01%,-2.50%,$601K,$42.5M,2023-07-12 16:35:00.401234
RACA2.0,WBNB,Radio Caca 2.0,$0.077246,"1,961",$37K,143,6.69%,25.44%,188%,"6,413%",$12K,$72K,2023-07-12 16:35:00.402452
USDC,WETH,USD Coin,0.0005273 WETH,"1,959",-,18,-0.07%,-0.15%,-0.39%,-1.38%,-,-,2023-07-12 16:35:00.403665
STG,WETH,StargateToken,$0.6385,"1,949",$38K,802,-0.59%,-0.86%,-3.58%,-1.89%,$39K,$19.6M,2023-07-12 16:35:00.404877
SRM,RAY,Serum,$0.1100,"1,945",$28K,67,-0.03%,-0.16%,-0.44%,0.92%,$165K,$1.090B,2023-07-12 16:35:00.406089
USDC,DAI,USD Coin,$1.00,"1,944",$507K,"1,652",0%,0%,-0.01%,-0.01%,$762K,$345.4M,2023-07-12 16:35:00.407301
OP,WETH,Optimism,$1.25,"1,942",$112K,"1,192",0.02%,-0.28%,1.31%,3.25%,$92K,$5.37B,2023-07-12 16:35:00.408517
CACOM,WBNB,CACOM,$1.17,"1,920",$63K,6,0.18%,1.39%,-1.11%,-0.72%,$37K,$117.3M,2023-07-12 16:35:00.409731
SCRT,OSMO,Secret Network,$0.3976,"1,918",$310K,216,-0.11%,-0.58%,-1.49%,4.13%,$1.1M,$75.6M,2023-07-12 16:35:00.410942
BTCB,USDT,BTCB Token,"$30,663.83","1,913",$7.5M,543,-0.04%,-0.34%,-0.12%,0.38%,$9.6M,$1.85B,2023-07-12 16:35:00.412154
WETH,USDT,Wrapped Ether,"$1,895.78","1,906",$46K,"1,549",0.14%,0.12%,0.37%,1.39%,$17K,$583.7M,2023-07-12 16:35:00.413374
WBNB,USDC,Wrapped BNB,$246.35,"1,883",$73K,"1,645",0.10%,-0.28%,-0.71%,-0.11%,$46K,$564.3M,2023-07-12 16:35:00.414602
WBTC,WPLS,Wrapped BTC,$65.96,"1,872",$230K,519,0%,0.87%,5.26%,3.86%,$339K,$10.1M,2023-07-12 16:35:00.415816
ZT,WCORE,ZT,$2.92,"1,865",$7.5K,126,0.02%,-25.93%,-16.02%,-26.85%,$4.9K,$11K,2023-07-12 16:35:00.417028
Cake,WBNB,PancakeSwap Token,$1.48,"1,860",$483K,"1,325",0.03%,-0.43%,-0.77%,-1.40%,$93K,$578.0M,2023-07-12 16:35:00.418243
WOKT,USDT,Wrapped OKT,$15.26,"1,859",$39K,"1,031",-0.06%,-0.53%,-0.06%,0.35%,$595K,$4.6M,2023-07-12 16:35:00.419471
FOX2.0,WBNB,Fox Finance 2.0,$0.00002276,"1,848",$161K,368,3.81%,23.33%,-26.85%,268%,$9.8K,$9.8K,2023-07-12 16:35:00.420684
INC,WPLS,Incentive,$6.85,"1,843",$1.1M,"1,185",-0.13%,0.81%,5.01%,5.72%,$24.5M,$35.1M,2023-07-12 16:35:00.421910
BTC.b,USDC,Bitcoin,"$30,708.87","1,839",$60K,"1,064",-0.10%,-0.11%,0.20%,0.60%,$17K,$179.7M,2023-07-12 16:35:00.423131
USDH,USDC,USDH Hubble Stablecoin,$0.9971,"1,833",$107K,192,0%,-0.02%,0%,-0.02%,$2.0M,$3.2M,2023-07-12 16:35:00.424348
LFG,WBNB,LFG 2.0,$0.0116766,"1,813",$95K,360,-14.30%,-31.86%,-6.17%,"1,991%",$2.9K,$6.7K,2023-07-12 16:35:02.283720
PEPA 2.0,WBNB,Pepa Inu 2.0,$0.0126760,"1,800",$206K,966,-14.86%,-44.18%,272%,272%,$40K,$118K,2023-07-12 16:35:02.285775
BKC,USDT,Metabank coin,$0.083749,"1,794",$294K,734,0.27%,1.56%,9.63%,105%,$405K,$487K,2023-07-12 16:35:02.287811
HI,BUSD,hi Dollar,$0.002421,"1,781",$33K,236,-0.06%,0.11%,-0.55%,-2.98%,$224K,$11.7M,2023-07-12 16:35:02.289744
BTC,WFTM,Bitcoin,"$9,745.52","1,781",$784K,843,-1.90%,-1.33%,-28.35%,-19.05%,$776K,$12.0M,2023-07-12 16:35:02.291534
STG,USDC,StargateToken,$0.6397,"1,774",$121K,742,0%,-0.45%,-2.22%,-1.36%,$1.6M,$15.6M,2023-07-12 16:35:02.293320
Maru,WETH,Maru Coin,$0.00004098,"1,762",$523K,606,0%,-18.33%,-1.06%,734%,$11K,$17K,2023-07-12 16:35:02.295109
Shib2.0,WETH,Shib2.0,$0.071429,"1,755",$1.6M,567,2.27%,-3.57%,-6.88%,34.79%,$1.0M,$6.0M,2023-07-12 16:35:02.296895
WETH,USDC,WETH,"$1,899.15","1,753",$95K,504,0.03%,0.56%,0.35%,1.21%,$19K,$5.7M,2023-07-12 16:35:02.298510
WETH,USDC,Wrapped Ether,"$1,892.74","1,737",$91K,"1,228",0%,0.21%,0.42%,1.13%,$1.5M,$41.7M,2023-07-12 16:35:02.300113
ARB,WETH,Arbitrum,$1.14,"1,732",$11K,911,0%,0.43%,0.03%,0.03%,$99K,$262K,2023-07-12 16:35:02.301728
WAVAX,USDC,Wrapped AVAX,$13.18,"1,731",$147K,"1,278",0%,-0.53%,-0.12%,-1.56%,$4.8M,$77.3M,2023-07-12 16:35:02.303329
Pitbull2.0,WBNB,Pitbull2.0,$0.075758,"1,724",$156K,120,0.48%,23.97%,53.63%,"1,280%",$18K,$43K,2023-07-12 16:35:02.304941
PEPE6.9,WETH,Pepe 6.9,$2.30,"1,722",$722K,712,-16.29%,-32.49%,14.75%,"4,491%",$45K,$159K,2023-07-12 16:35:02.306387
PEDO2.0,WBNB,PEPE DOGE 2.0,$0.052443,"1,708",$109K,365,0%,-0.13%,-7.29%,-91.01%,$1.8K,$968,2023-07-12 16:35:02.307842
MUTE,WETH,Mute.io,$0.3998,"1,706",$94K,"1,033",-0.02%,0.52%,0.72%,3.95%,$1.5M,$7.1M,2023-07-12 16:35:02.309287
WCORE,USDT,Wrapped CORE,$0.9159,"1,700",$10K,"1,371",0.22%,0.59%,-0.05%,1.00%,$195K,$332K,2023-07-12 16:35:02.310730
QUICK,WMATIC,Quickswap,$73.35,"1,699",$240K,422,0.01%,-0.02%,-1.28%,-4.45%,$486K,$48.1M,2023-07-12 16:35:02.312175
Dede2,WBNB,Dede 2.0,$0.01126,"1,689",$57K,524,8.83%,-23.30%,-64.01%,"4,241%",$3.3K,$11K,2023-07-12 16:35:02.313619
AAVE,WPLS,Aave Token,$0.09608,"1,687",$81K,415,-0.61%,-5.06%,2.88%,-1.98%,$16K,$1.5M,2023-07-12 16:35:02.315016
USDC,USDT,USD Coin,$1.00,"1,673",$73K,634,0%,-0.02%,-0.09%,0.02%,$5.0M,$20.7M,2023-07-12 16:35:02.316336
BTC.b,WAVAX,Bitcoin,"$30,694.16","1,671",$23K,"1,530",0.05%,-0.15%,-0.04%,0.43%,$699K,$180.7M,2023-07-12 16:35:02.317658
WBNB,USDC,Wrapped BNB,$246.61,"1,663",$124K,"1,384",-0.07%,0.05%,-0.59%,0.31%,$228K,$564.9M,2023-07-12 16:35:02.318980
WAVAX,USDC,Wrapped AVAX,$13.14,"1,655",$5.8M,"1,019",-0.20%,-0.80%,-0.40%,-1.59%,$2.7M,$77.1M,2023-07-12 16:35:02.320303
WBNB,USDT,Wrapped BNB,$246.74,"1,649",$503K,"1,231",0.15%,-0.15%,-0.60%,0%,$359K,$565.7M,2023-07-12 16:35:02.321625
Ape 2.0,WBNB,Ape 2.0,$0.0106539,"1,640",$114K,771,-0.14%,-1.78%,-13.76%,-78.19%,$30K,$14K,2023-07-12 16:35:02.322965
BUSD,USDC,Binance USD,$0.9988,"1,640",$508K,816,0%,-0.08%,0%,-0.09%,$551K,$3.2M,2023-07-12 16:35:02.324285
BUSD,USDC,Binance USD,$0.9991,"1,637",$983K,909,0.01%,0.01%,-0.02%,0.03%,$463K,$3.2M,2023-07-12 16:35:02.325603
NITRO,WMATIC,Nitro (PoS),$0.002587,"1,635",$55K,43,0%,0%,-0.44%,-0.70%,$156K,$2.3M,2023-07-12 16:35:02.326886
zkUSD,USDC,zkUSD Dollar,$0.7782,"1,631",$924K,902,0%,0.07%,-5.86%,-2.72%,$916K,$2.5M,2023-07-12 16:35:02.328108
RPEPE,WBNB,Ronin Pepe,$0.0111855,"1,617",$33K,477,0%,-9.07%,-13.69%,260%,$1.0K,$540,2023-07-12 16:35:02.329330
WMATIC,USDT,Wrapped Matic,$0.7404,"1,613",$36K,"1,104",0%,-0.25%,0.58%,-0.03%,$679K,$103.1M,2023-07-12 16:35:02.330555
WETH,USDC,Wrapped Ether,"$1,892.12","1,603",$32K,"1,229",0%,-0.32%,0.80%,3.29%,$13K,$41.7M,2023-07-12 16:35:02.331770
WCORE,USDT,Wrapped CORE,$1.04,"1,598",$2.3K,787,-6.20%,14.59%,2.73%,16.33%,$82,$2.1M,2023-07-12 16:35:02.333010
agEUR,USDT,agEUR,$1.10,"1,584",$727K,"1,240",0.01%,0.36%,0.68%,0.65%,$596K,$431K,2023-07-12 16:35:02.334228
USDT,USDC,Tether USD,$1.00,"1,583",$226K,447,0%,0.03%,0.19%,0.12%,$24K,$3.2M,2023-07-12 16:35:02.335491
1USDC,WONE,USD Coin,$0.07149,"1,578",$4.4K,127,0.19%,0.29%,0.42%,2.40%,$25K,$2.4M,2023-07-12 16:35:02.336683
WOID,WBNB,WORLD ID,$0.051728,"1,574",$117K,537,-0.45%,-1.75%,-3.60%,-0.80%,$117K,$1.5M,2023-07-12 16:35:02.337853
XPLR,DEBT,Explore,$0.002020,"1,567",$28K,67,0.05%,-1.26%,-1.35%,-9.19%,$153K,$2.82B,2023-07-12 16:35:02.339034
8882.0,USDT,8882.0,$33.08,"1,564",$182K,580,-1.00%,4.21%,2.15%,-31.23%,$120K,$294K,2023-07-12 16:35:02.340202
AIR,WBNB,AIR,$0.074956,"1,538",$535K,460,-0.07%,3.22%,3.71%,24.45%,$817K,$21.9M,2023-07-12 16:35:02.341367
WTY,BUSD,Witty,$13.53,"1,528",$675K,445,-4.47%,-14.05%,-21.02%,-55.30%,$19K,$270.6M,2023-07-12 16:35:02.342533
CHEEL,USDT,CHEELEE,$16.27,"1,526",$221K,300,-0.21%,-0.94%,0.55%,2.25%,$516K,$16.27B,2023-07-12 16:35:02.343705
WPEPE,WBNB,WPEPE,$0.0105287,"1,517",$96K,387,0.80%,-16.15%,-14.30%,-20.86%,$17K,$22K,2023-07-12 16:35:02.344849
AXL,WBNB,AXL INU,$0.069523,"1,515",$109K,350,0.42%,-4.20%,-7.33%,8.72%,$25K,$89K,2023-07-12 16:35:02.345980
APT,USDT,Aptos Coin,$7.05,"1,498",$2.1K,489,0.88%,-0.33%,-0.28%,0.62%,$1.5K,-,2023-07-12 16:35:02.347106
Chirp,WPLS,Chirp.Finance,$0.2937,"1,492",$352K,430,-0.45%,2.13%,29.37%,6.78%,$210K,$376K,2023-07-12 16:35:02.348238
STKK,USDT,Streakk,$1.05,"1,482",$294K,439,2.28%,5.14%,-35.31%,-44.77%,$230K,$9.6M,2023-07-12 16:35:02.349362
ZGM,USDT,zhong guo meng,$4.10,"1,479",$129K,522,1.78%,-11.40%,-14.76%,-17.72%,$112K,$218K,2023-07-12 16:35:02.350504
SOL,USDT,Wrapped SOL,$22.59,"1,476",$10K,173,0.19%,-0.07%,2.69%,2.83%,$8.5K,-,2023-07-12 16:35:02.351623
SOLANA 2.0,WETH,SOLANA 2.0,$0.0002224,"1,460",$519K,435,0%,-56.06%,-39.00%,749%,$12K,$22K,2023-07-12 16:35:02.352724
BSCBURN,WBNB,BSCBURN,$0.092653,"1,457",$125K,558,-1.45%,-4.42%,-26.64%,60.93%,$20K,$61K,2023-07-12 16:35:02.353822
BTCB,BUSD,BTCB Token,"$30,663.98","1,441",$7.0M,296,-0.04%,-0.34%,-0.13%,0.38%,$9.3M,$1.85B,2023-07-12 16:35:02.354919
WETH,USDC,Wrapped Ether,"$1,890.14","1,437",$118K,862,0.01%,0.29%,0.52%,1.17%,$125K,$41.7M,2023-07-12 16:35:02.356015
SOL,USDC,Wrapped SOL,$22.59,"1,433",$100K,177,0.33%,-0.06%,2.72%,2.89%,$68K,-,2023-07-12 16:35:02.357113
WETH,WPLS,Wrapped Ether from Ethereum,"$1,880.00","1,432",$1.9M,661,-0.07%,-1.01%,-0.31%,1.25%,$25.1M,$19.1M,2023-07-12 16:35:02.358216
USDC,USDT,USD Coin,$0.9994,"1,429",$41K,700,0%,-0.20%,0%,-0.20%,$663K,$20.6M,2023-07-12 16:35:02.359337
USDC,WFTM,USD Coin,$0.4194,"1,427",$201K,381,-0.76%,-5.86%,-28.33%,-25.91%,$244K,$76.2M,2023-07-12 16:35:02.360433
AREA,WBNB,AREON,$0.1711,"1,421",$754K,227,0%,-1.72%,-4.32%,-10.09%,$546K,$85.5M,2023-07-12 16:35:02.361531
SNPS,BUSD,SNPS Token,$0.009565,"1,409",$111K,467,0.98%,-0.29%,-0.29%,-1.13%,$16K,$1.0M,2023-07-12 16:35:02.362629
TONI,WPLS,Daytona.Finance,$0.2004,"1,406",$212K,454,-0.36%,0.50%,11.91%,15.52%,$404K,$5.9M,2023-07-12 16:35:02.363727
FINE 2.0,WBNB,THIS IS FINE 2.0,$0.0117680,"1,400",$57K,327,0%,-11.11%,-40.84%,-69.59%,$3.6K,$7.6K,2023-07-12 16:35:02.364825
MBANK,USDT,MetaBank,$0.00007143,"1,395",$20K,755,0.02%,0.79%,2.74%,5.13%,$419K,$2.2M,2023-07-12 16:35:02.365919
SGO,WBNB,SGO,$0.002625,"1,382",$191K,63,2.53%,22.03%,206%,"20,294%",$142K,$2.5M,2023-07-12 16:35:02.367016
MHAPPY,USDT,MHAPPY,$0.02997,"1,381",$14K,681,0%,0%,-0.01%,-0.01%,$17K,$29.97B,2023-07-12 16:35:02.368118
MIM,BUSD,Magic Internet Money,$1.00,"1,365",$3.0K,"1,222",0.55%,0.74%,-0.46%,0.50%,$888,$2.2M,2023-07-12 16:35:02.369214
VC,WETH,Velocore,$0.02680,"1,365",$92K,926,-0.14%,0.38%,0.18%,0.62%,$1.3M,$2.1M,2023-07-12 16:35:02.370312
BEV,DEBT,Beverage,$0.1650,"1,364",$51K,111,0.17%,-2.53%,-1.70%,0.69%,$107K,$1.39B,2023-07-12 16:35:02.371409
PEPE2.0,USDC,Pepe2.0,$0.093911,"1,361",$75K,250,0%,8.78%,45.55%,329%,$26K,$164K,2023-07-12 16:35:02.372515
ALUM,DEBT,Aluminum,$0.002777,"1,354",$26K,42,0.02%,-0.59%,1.53%,-7.79%,$173K,$3.090B,2023-07-12 16:35:02.373625
MARE,USDC,Mare Finance,$0.06662,"1,354",$14K,51,-0.07%,0.26%,0.90%,9.87%,$524K,$6.6M,2023-07-12 16:35:02.374725
VPC,USDT,Vip Panda Community,$1.23,"1,345",$221K,731,-0.01%,-6.03%,-8.48%,95.38%,$184K,$25.8M,2023-07-12 16:35:02.375823
USDT,USDC,Tether USD,$1.00,"1,342",$2.0M,"1,114",0%,0%,0%,0%,$8.3M,$3.38B,2023-07-12 16:35:02.376921
mSOL,stSOL,Marinade staked SOL (mSOL),$25.26,"1,331",$180K,71,-0.05%,-0.36%,2.08%,2.90%,$160K,$142.5M,2023-07-12 16:35:02.378025
DAI,USDC,Dai Stablecoin,$0.3113,"1,326",$442K,516,-4.57%,-3.42%,-29.52%,-21.42%,$205K,$10.9M,2023-07-12 16:35:02.379121
$WALLIE,WBNB,Wallie The Whale,$0.064334,"1,322",$31K,333,-15.19%,-38.74%,-72.16%,521%,$2.6K,$3.1K,2023-07-12 16:35:02.380216
BTC.b,APT,Bitcoin,"$35,740.58","1,320",$57,124,0.90%,6.02%,-17.45%,68.50%,$18,$133K,2023-07-12 16:35:02.381309
WETH,APT,Wrapped Ether,"$1,890.51","1,305",$233,239,0.03%,0.16%,1.62%,0.54%,$637,$5.2M,2023-07-12 16:35:02.382418
PLA,WETH,PlayDapp Token (PoS),$0.1802,"1,302",$313K,190,0.34%,-0.40%,1.71%,11.72%,$178K,$2.5M,2023-07-12 16:35:02.383516
USDC,USDT,USD Coin,$0.9998,"1,302",$722K,125,0%,0%,0%,-0.02%,$745K,$5.030B,2023-07-12 16:35:02.384613
WETH,USDC,Wrapped Ether,"$1,896.03","1,300",$24K,951,-0.03%,0.19%,0.38%,1.29%,$293K,$121.2M,2023-07-12 16:35:02.385709
NATG,DEBT,NaturalGas,$0.0001825,"1,294",$55K,106,-0.02%,-0.52%,-3.82%,-1.23%,$198K,$821.3M,2023-07-12 16:35:02.386808
WGLMR,USDC,Wrapped GLMR,$0.2988,"1,292",$24K,127,0%,0.09%,0.12%,17.14%,$42K,$4.4M,2023-07-12 16:35:02.387907
$NYAN,WETH,Nyan Cat,$0.00003790,"1,291",$341K,455,0%,-69.25%,56.49%,56.49%,$5.0K,$3.7K,2023-07-12 16:35:02.389011
AKT,OSMO,Akash Network,$0.5390,"1,289",$264K,187,0.05%,-1.25%,-2.09%,-7.35%,$1.9M,$209.4M,2023-07-12 16:35:02.390108
SPACE,USDC,SPACE,$0.1429,"1,282",$115K,"1,050",0%,-0.23%,-0.08%,-0.65%,$259K,$2.5M,2023-07-12 16:35:02.391216
INJ,OSMO,Injective,$8.20,"1,282",$105K,169,0.01%,-0.95%,1.44%,0.18%,$1.0M,$820.6M,2023-07-12 16:35:02.392366
LIF3,TOMB,LIF3,$0.01779,"1,278",$34K,21,-3.33%,4.42%,24.04%,27.41%,$991K,$807K,2023-07-12 16:35:02.393462
Babyshib2.0,WBNB,Babyshib 2.0,$0.00001516,"1,277",$207K,305,-1.80%,11.16%,508%,508%,$122K,$151K,2023-07-12 16:35:02.394560
WCANTO,NOTE,wCanto,$0.1316,"1,275",$911K,87,0.07%,1.43%,1.36%,3.88%,$8.6M,$12.1M,2023-07-12 16:35:02.395656
WAVAX,USDC,Wrapped AVAX,$13.17,"1,263",$25K,968,-0.20%,-0.60%,-0.20%,-1.59%,$187K,$77.3M,2023-07-12 16:35:02.396755
USDC,WFTM,USD Coin,$0.4199,"1,259",$268K,671,-5.71%,-6.40%,-28.45%,-25.65%,$383K,$76.3M,2023-07-12 16:35:02.397853
LENDA,WBNB,Lenda,$0.0004962,"1,257",$11K,690,-0.02%,0.11%,-0.51%,-0.51%,$182K,$725K,2023-07-12 16:35:02.398949
WETH,APT,Wrapped Ether,"$1,885.88","1,257",$28K,718,0%,0.12%,0.44%,1.08%,$85K,$5.2M,2023-07-12 16:35:02.400046
Pi,USDT,Pi,$12.35,"1,252",$333K,523,0.18%,2.18%,8.67%,31.49%,$306K,$443K,2023-07-12 16:35:02.401144
vAAVE,vUSD,vAAVE,$75.95,"1,251",$1.9M,18,0.14%,-0.18%,-0.23%,3.36%,$523K,-,2023-07-12 16:35:02.402242
WETH,USDC,Wrapped Ether,"$1,895.09","1,248",$2.3M,423,0.04%,0.07%,0.33%,1.27%,$4.8M,$409.6M,2023-07-12 16:35:02.403338
SPHYNX,WLOOP,Sphynx Labs,$0.001099,"1,245",$8.4K,102,0%,0.14%,-1.48%,-5.16%,$102K,$4.3M,2023-07-12 16:35:02.404431
WETH,USDC,Wrapped Ether,"$1,893.72","1,242",$83K,506,0%,0.26%,0.50%,1.21%,$3.9M,$5.2M,2023-07-12 16:35:02.405525
WOKT,USDT,Wrapped OKT,$15.26,"1,241",$16K,813,0.09%,-0.54%,-0.03%,0.35%,$155K,$4.6M,2023-07-12 16:35:02.406622
NMC,WETH,Namecoin,$0.001725,"1,240",$744K,383,-5.71%,-14.52%,-81.24%,272%,$24K,$36K,2023-07-12 16:35:03.519272
JOE,WAVAX,JoeToken,$0.3468,"1,240",$448K,607,0.06%,-0.72%,-1.29%,-5.39%,$1.1M,$171.0M,2023-07-12 16:35:03.521402
DFKTEARS,WJEWEL,Gaia's Tears,$0.005447,"1,239",$2.1K,548,-0.14%,3.83%,-4.38%,4.46%,$6.0K,$80K,2023-07-12 16:35:03.523502
WPLS,PLSX,Wrapped Pulse,$0.0001096,"1,234",$280K,370,0.02%,0.10%,3.83%,5.27%,$4.7M,$854.1M,2023-07-12 16:35:03.525484
WAVAX,USDC,Wrapped AVAX,$13.22,"1,231",$7.4K,990,0.06%,-0.31%,0.04%,-1.38%,$24K,$77.5M,2023-07-12 16:35:03.527335
ETH,USDC,Ethereum Token,"$1,895.15","1,230",$3.6M,465,0.03%,0.08%,0.35%,1.27%,$3.1M,$1.14B,2023-07-12 16:35:03.529191
LUSD,USDC,LUSD Stablecoin,$0.4821,"1,229",$349K,705,-0.73%,-3.58%,-10.08%,-25.00%,$111K,$334K,2023-07-12 16:35:03.531043
QUICK,USDC,Quickswap,$73.31,"1,228",$127K,379,-0.17%,0.19%,-1.26%,-4.47%,$244K,$48.1M,2023-07-12 16:35:03.532834
WETH,USDC,Wrapped Ether,"$1,896.14","1,224",$3.9M,684,0%,0.15%,0.30%,1.36%,$3.6M,$583.8M,2023-07-12 16:35:03.534499
FRAX,WMOVR,Frax,$1.67,"1,220",$63K,145,0.28%,-0.90%,1.15%,-17.39%,$29K,$9.1M,2023-07-12 16:35:03.536161
WBTC,WETH,Wrapped BTC,"$31,117.55","1,218",$65K,"1,075",-0.04%,0.29%,0.33%,1.41%,$1.5M,$2.2M,2023-07-12 16:35:03.537795
WBTC,WETH,Wrapped BTC,"$30,687.79","1,217",$6.6M,581,0.04%,-0.23%,-0.08%,0.34%,$25.7M,$320.7M,2023-07-12 16:35:03.539493
RAY,USDT,Raydium,$0.2008,"1,212",$65K,76,0%,-1.03%,1.57%,2.74%,$685K,$111.4M,2023-07-12 16:35:03.541074
KUMA,WETH,KUMA,$0.093221,"1,209",$486K,463,0%,0%,-24.45%,92.38%,$27K,$18K,2023-07-12 16:35:03.542544
POP,WETH,Proof Of Pepe,$0.0002580,"1,207",$556K,437,0%,-22.83%,21.88%,-13.69%,$66K,$255K,2023-07-12 16:35:03.544009
ETH,WBNB,Ethereum Token,"$1,898.57","1,205",$751K,708,0%,0.44%,0.54%,1.32%,$955K,$1.14B,2023-07-12 16:35:03.545491
WAVAX,USDt,Wrapped AVAX,$13.20,"1,205",$39K,906,0.07%,-0.47%,0.09%,-1.36%,$159K,$77.4M,2023-07-12 16:35:03.547011
WETH,USDT,Wrapped Ether,"$1,889.63","1,203",$174K,665,0.03%,0.41%,0.34%,1.34%,$13K,$9.1M,2023-07-12 16:35:03.548515
SWP,USDT,S-Wallet Protocol,$0.1064,"1,195",$8.1K,236,3.84%,-1.77%,-1.91%,26.18%,$380,$5.3M,2023-07-12 16:35:03.550037
WETH,DAI,WETH,"$1,892.68","1,195",$9.8K,727,-0.01%,0.37%,-0.12%,0.85%,$39K,$5.7M,2023-07-12 16:35:03.551412
WAVAX,USDt,Wrapped AVAX,$13.19,"1,189",$630K,911,0%,-0.40%,0%,-1.19%,$2.3M,$77.5M,2023-07-12 16:35:03.552746
VVS,WCRO,VVSToken,$0.052672,"1,188",$130K,645,0.04%,-0.09%,0.36%,1.53%,$67.7M,$196.1M,2023-07-12 16:35:03.554081
HNT,SOL,Helium Network Token,$1.45,"1,181",$210K,416,-0.66%,-1.71%,0.38%,9.28%,$179K,$220.4M,2023-07-12 16:35:03.555451
BABY FLOKI2.0,WBNB,Baby Floki2.0,$0.085021,"1,179",$64K,280,2.54%,-82.00%,-80.26%,-80.26%,$5.2K,$3.8K,2023-07-12 16:35:03.556833
NOVA,WETH,Nova Token,$0.071535,"1,178",$1.0M,699,0%,4.56%,-8.88%,25.48%,$943K,$15.3M,2023-07-12 16:35:03.558207
WBRISE,USDTi,Wrapped BRISE,$0.062700,"1,176",$7.0K,320,0.01%,1.29%,6.38%,7.48%,$5.9K,$1.4M,2023-07-12 16:35:03.559578
IRIS,OSMO,IRISnet,$0.02192,"1,174",$77K,35,0.01%,-0.09%,-1.21%,-1.82%,$186K,$43.7M,2023-07-12 16:35:03.560909
WETH,USDC,Wrapped Ether,"$1,894.98","1,172",$1.8M,453,0.04%,0.08%,0.35%,1.25%,$1.6M,$583.4M,2023-07-12 16:35:03.562234
PUGAI,SOL,PUGAI,$0.096696,"1,163",$1.3K,68,0%,1.05%,-0.70%,-6.06%,$3.1K,$66K,2023-07-12 16:35:03.563499
DRIP,DEBT,Drip,$0.4137,"1,160",$48K,76,0.02%,0.80%,7.13%,-1.56%,$159K,$411.7M,2023-07-12 16:35:03.564732
KIN,USDC,KIN,$0.057302,"1,158",$10K,61,0%,1.13%,1.48%,3.90%,$20K,$73.0M,2023-07-12 16:35:03.565961
ZAX,WBNB,ZILLION AAKAR XO,$0.3256,"1,152",$362K,806,-0.10%,-0.97%,1.73%,-5.32%,$523K,$6.8M,2023-07-12 16:35:03.567190
USDEX+,USDC,USDEX+,$0.9999,"1,152",$46K,25,0%,0%,-0.07%,-0.19%,$115K,$246K,2023-07-12 16:35:03.568417
SESE,WETH,SESE,$0.055268,"1,142",$207K,430,0%,0.21%,-81.78%,127%,$6.0K,$5.2K,2023-07-12 16:35:03.569685
DEDE,WBNB,DEDE,$0.00008073,"1,138",$12K,278,1.55%,71.29%,"1,647%","1,647%",$2.1K,$5.6K,2023-07-12 16:35:03.570952
